Category,Subcategory,Feature/Component,Description,Location,Priority,Notes,Implementation Time,Current Status %
SEO,Structured Data,OpeningHours,Hours in structured data,App Frontend,P1,,,
Sharing,Buttons,Native Share API,Device native share,App Frontend,P0,,,
Sharing,Buttons,Facebook Share,Share to Facebook,App Frontend,P0,NN-38: Not showing,,
Sharing,Buttons,Twitter Share,Share to Twitter/X,App Frontend,P0,NN-38: Not showing,,
Sharing,Buttons,Email Share,Share via email,App Frontend,P0,NN-38: Not showing,,
Sharing,Buttons,Copy Link,Copy URL to clipboard,App Frontend,P0,,,
Hours,Regular,Weekly Hours,Day-by-day operating hours,Admin Backend,P0,,,
Hours,Regular,Open/Close Times,Start and end time per day,Admin Backend,P0,,,
Hours,Regular,Closed Days,Mark days as closed,Admin Backend,P0,,,
Hours,Seasonal,Season Name,"Label for season (Summer, Winter)",Admin Backend,P1,NN-36: Need to add,,
Hours,Seasonal,Start Date,Season start date,Admin Backend,P1,NN-36: Missing,,
Hours,Seasonal,End Date,Season end date,Admin Backend,P1,NN-36: Missing,,
Hours,Seasonal,Seasonal Hours,Hours during season,Admin Backend,P1,,,
Hours,Holiday,Holiday Name,Name of holiday,Admin Backend,P1,,,
Hours,Holiday,Holiday Date,Specific date,Admin Backend,P1,,,
Hours,Holiday,Holiday Hours,Hours or closed,Admin Backend,P1,,,
Hours,Exceptions,Recurring Monthly,"3rd Wednesday closed, etc.",Admin Backend,P2,NN-36: Not implemented,,
Hours,Exceptions,Exception Type,"Closed, modified hours",Admin Backend,P2,NN-36: Not implemented,,
Hours,Exceptions,Exception Override,Override regular hours,Admin Backend,P2,NN-36: Not implemented,,
Hours,Frontend,Hours Display Component,HoursDisplay.jsx,App Frontend,P0,,,
Hours,Frontend,Open Now Status,Show if currently open,App Frontend,P0,,,
Hours,Frontend,Hours Toggle,Expand to see all hours,App Frontend,P0,NN-36: Not working,,
Hours,Frontend,Date-specific Hours,Show hours for selected date,App Frontend,P0,,,
Hours,Frontend,Override Display,Show modified/holiday indicator,App Frontend,P1,NN-36: Not implemented,,
Users,CLI,Create User,manage_users.py create command,Admin Backend,P0,,,
Users,CLI,List Users,manage_users.py list command,Admin Backend,P0,,,
Users,CLI,Delete User,manage_users.py delete command,Admin Backend,P0,,,
Users,CLI,Test User,manage_users.py test-user command,Admin Backend,P0,,,
Users,CLI,Role Assignment,--role flag on create,Admin Backend,P0,,,
Users,API,Create User Endpoint,POST /api/auth/users (Admin),Admin Backend,P1,,,
Users,Frontend,User Management UI,Admin page to manage users,Admin Frontend,P2,Not implemented,,
Infrastructure,Docker,Dev Compose,docker-compose.yml,Infrastructure,P0,,,
Infrastructure,Docker,Prod Compose,docker-compose.prod.yml,Infrastructure,P0,,,
Infrastructure,Docker,Multi-stage Build,Separate build and runtime,Infrastructure,P0,,,
Infrastructure,Docker,Health Checks,Container health monitoring,Infrastructure,P0,,,
Infrastructure,Docker,Volume Mounts,Persistent data storage,Infrastructure,P0,,,
Infrastructure,Database,PostgreSQL 15,Main database server,Infrastructure,P0,,,
Infrastructure,Database,PostGIS 3.4,Geospatial extension,Infrastructure,P0,,,
Infrastructure,Database,Alembic Migrations,Schema version control,Infrastructure,P0,,,
Infrastructure,Database,Connection Pooling,SQLAlchemy pool config,Infrastructure,P0,,,
Infrastructure,Storage,AWS S3,Production image storage,Infrastructure,P0,,,
Infrastructure,Storage,MinIO,Development S3 compatibility,Infrastructure,P0,,,
Infrastructure,Storage,CloudFront CDN,Image delivery optimization,Infrastructure,P2,,,
Infrastructure,CI/CD,GitHub Actions,Automated pipeline,Infrastructure,P0,,,
Infrastructure,CI/CD,ECR Push,Push images to AWS ECR,Infrastructure,P0,,,
Infrastructure,CI/CD,ECS Deploy,Deploy to AWS ECS,Infrastructure,P0,,,
Infrastructure,Network,Docker Network,nearby-admin_default network,Infrastructure,P0,,,
Infrastructure,Network,DNS Resolution,Container name resolution,Infrastructure,P0,,,
Infrastructure,Network,CORS Config,Cross-origin settings,Infrastructure,P0,,,
Database,Tables,points_of_interest,Main POI table (140+ fields),Database,P0,,,
Database,Tables,businesses,Business subtype table,Database,P0,,,
Database,Tables,parks,Park subtype table,Database,P0,,,
Database,Tables,trails,Trail subtype table,Database,P0,,,
Database,Tables,events,Event subtype table,Database,P0,,,
Database,Tables,categories,Category table (hierarchical),Database,P0,,,
Database,Tables,poi_category_association,POI-category junction,Database,P0,,,
Database,Tables,images,Image metadata table,Database,P0,,,
Database,Tables,attributes,Dynamic attribute definitions,Database,P0,,,
Database,Tables,poi_relationships,POI-to-POI links,Database,P0,,,
Database,Tables,users,Admin users table,Database,P0,,,
Database,Tables,primary_types,POI primary types,Database,P0,,,
Database,Tables,waitlist,Email waitlist,Database,P1,,,
Database,Indexes,Trigram Index (name),GIN index for fuzzy search,Database,P0,,,
Database,Indexes,Trigram Index (city),GIN index for city search,Database,P0,,,
Database,Indexes,Geospatial Index,GIST index on location,Database,P0,,,
Database,Indexes,Vector Index,IVFFlat on embedding column,Database,P0,,,
Database,Indexes,Status Index,Index on publication_status,Database,P0,,,
Database,Extensions,pg_trgm,Trigram text search,Database,P0,,,
Database,Extensions,pgvector,Vector similarity search,Database,P0,,,
Database,Extensions,PostGIS,Geospatial functions,Database,P0,,,
Explore,Layout,Category Grid,4 category cards with icons,App Frontend,P0,,,
Explore,Layout,Live Counts,Show POI count per category,App Frontend,P0,,,
Explore,Layout,Split View,"List on left, map on right",App Frontend,P0,,,
Explore,Filtering,Type Filter,Filter by POI type,App Frontend,P0,,,
Explore,Filtering,Search Within,Search filtered results,App Frontend,P0,,,
Explore,Filtering,Distance Sort,Sort by distance from location,App Frontend,P1,,,
Explore,Features,Save/Favorites,Save POIs to list,App Frontend,P2,Shows 'coming soon',,
Homepage,Hero,Main Tagline,'What's Actually Nearby',App Frontend,P0,,,
Homepage,Hero,Search Bar,Central search input,App Frontend,P0,,,
Homepage,Hero,Announcement Bar,Testing location notice,App Frontend,P0,,,
Homepage,Hero,Description,'No Ads. No Clutter.',App Frontend,P0,,,
Homepage,Sections,Feature Showcase,Platform features display,App Frontend,P1,,,
Homepage,Sections,Signup Bar,Email waitlist signup,App Frontend,P0,,,
Homepage,Sections,Info Sections,Additional info blocks,App Frontend,P1,,,
Homepage,Navigation,Navbar,Top navigation bar,App Frontend,P0,,,
Homepage,Navigation,Footer,Site footer with links,App Frontend,P0,,,
Known Issues,NN-55,POI Update HTTP 422,Error when updating POI,Admin Backend,P0,Needs investigation,,
Known Issues,NN-4,Can't Save New POIs,HTTP 500 on save,Admin Backend,P0,Intermittent issue,,
Known Issues,NN-38,Map Zoom Too Far,Default zoom needs adjustment,Admin Frontend,P1,UX improvement,,
Known Issues,NN-38,Address Autocomplete,Need address suggestions,Admin Frontend,P2,Feature request,,
Known Issues,NN-36,Seasonal Date Ranges,Can't specify season dates,Admin Backend,P1,Missing feature,,
Known Issues,NN-36,Recurring Exceptions,Monthly patterns not supported,Admin Backend,P2,Missing feature,,
Known Issues,NN-36,Hours Toggle Frontend,Toggle button not working,App Frontend,P0,Bug,,
Known Issues,NN-46,Venue Data Inheritance,Events don't pull from venue,Admin Backend,P1,Missing feature,,
Known Issues,NN-46,Events Page Blank,Events list showing blank,App Frontend,P0,Bug,,
Known Issues,NN-50,Map Colors A11y,Color contrast issues,App Frontend,P1,Accessibility,,
Known Issues,NN-57,Teaser Char Limit,Need 120 char limit,Admin Frontend,P0,Missing validation,,
Known Issues,NN-57,Parking Lat/Long,Missing parking coordinates,Admin Backend,P1,Missing field,,
Known Issues,NN-57,Restroom Duplicate,Can't add multiple restrooms,Admin Frontend,P1,Missing feature,,
Known Issues,NN-57,Playground Lat/Long,Missing playground coordinates,Admin Backend,P1,Missing field,,
Known Issues,NN-57,Corporate Checkboxes,Checkboxes not clickable,Admin Frontend,P0,Bug,,
Known Issues,NN-48,Verified Badge Popup,Popup not showing,App Frontend,P0,Bug,,
Known Issues,NN-38,Share Options,Only copy link showing,App Frontend,P0,Bug,,
Known Issues,NN-31,Copy Address,Only copying city,App Frontend,P0,Bug,,
Known Issues,NN-28,Map Marker Connection,Connect markers to card list,App Frontend,P1,UX improvement,,
