Category,Subcategory,Feature/Component,Description,Location,Priority,Test Type,Test Method,Notes,Implementation Time,Current Status %
Attributes,Types,Textarea Attribute,Multi-line text input,Admin Backend,P0,AUTO,pytest: create textarea,"Categories only, not field types",,15%
Attributes,Types,Number Attribute,Numeric input with min/max,Admin Backend,P0,AUTO,pytest: create number with min/max,Categories only,,15%
Attributes,Types,Select Attribute,Single choice dropdown,Admin Backend,P0,AUTO,pytest: create select,Categories only,,15%
Attributes,Types,Multi-select Attribute,Multiple choice checkboxes,Admin Backend,P0,AUTO,pytest: create multi-select,Categories only,,15%
Attributes,Types,Checkbox Attribute,Boolean toggle,Admin Backend,P0,AUTO,pytest: create checkbox,Categories only,,15%
Attributes,Types,Date Attribute,Date picker input,Admin Backend,P0,AUTO,pytest: create date,Categories only,,15%
Attributes,Types,Time Attribute,Time picker input,Admin Backend,P0,AUTO,pytest: create time,Categories only,,15%
Attributes,Types,URL Attribute,URL input with validation,Admin Backend,P0,AUTO,pytest: create URL,Categories only,,15%
Attributes,Types,Email Attribute,Email input with validation,Admin Backend,P0,AUTO,pytest: create email,Categories only,,15%
Attributes,Config,POI Type Filtering,Limit attributes to POI types,Admin Backend,P0,AUTO,pytest: filter by type,applicable_to ARRAY with .contains() query,,100%
Attributes,Config,Required Flag,Mark attribute as required,Admin Backend,P0,AUTO,"pytest: mark required, verify validation",Not in database model,,0%
Attributes,Config,Default Value,Set default value,Admin Backend,P1,AUTO,"pytest: set default, verify applied",Not implemented,,0%
Attributes,Config,Help Text,Display help text to users,Admin Backend,P1,AUTO,Playwright: verify help displays,Not implemented,,0%
Attributes,Config,Display Order,Control attribute order,Admin Backend,P1,AUTO,"pytest: set order, verify sorting",sort_order field working,,100%
Attributes,Frontend,Dynamic Form Rendering,Render attributes based on config,Admin Frontend,P0,HYBRID,Playwright: fields | Manual: correct type,DynamicAttributeForm renders checkboxes only,,50%
Attributes,Frontend,Validation,Client-side validation per type,Admin Frontend,P0,AUTO,"pytest: submit invalid, verify error","Basic presence only, no type-specific validation",,30%
Relationships,Types,Event-Venue,Link event to venue location,Admin Backend,P0,AUTO,pytest: create event-venue,venue relationship type fully implemented,,100%
Relationships,Types,Event-Vendor,Link event to vendor businesses,Admin Backend,P1,AUTO,pytest: create event-vendor,vendor relationship type working,,100%
Relationships,Types,Event-Sponsor,Link event to sponsors,Admin Backend,P2,AUTO,pytest: create event-sponsor,sponsor relationship type working,,100%
Relationships,Types,Trail-in-Park,Link trail to containing park,Admin Backend,P0,AUTO,pytest: create trail-in-park,trail_in_park type with strict validation,,100%
Relationships,Types,Service Provider,Link service to POI,Admin Backend,P2,AUTO,pytest: create service provider,service_provider bidirectional working,,100%
Relationships,Types,Related POIs,Generic relation between POIs,Admin Backend,P1,AUTO,pytest: create related link,related type for generic connections,,100%
Relationships,API,Create Relationship,POST /api/relationships/,Admin Backend,P0,AUTO,pytest: POST /api/relationships/,POST /api/relationships/ with validation,,100%
Relationships,API,Get POI Relationships,GET /api/relationships/{poi_id},Admin Backend,P0,AUTO,pytest: GET endpoint,Returns both outgoing and incoming,,100%
Relationships,API,Delete Relationship,DELETE /api/relationships/...,Admin Backend,P0,AUTO,pytest: DELETE,DELETE endpoint working,,100%
Relationships,Frontend,Relationship Manager,UI to add/remove relationships,Admin Frontend,P0,AUTO,"Playwright: open modal, add",UI modal for add/remove with color-coded badges,,100%
Relationships,Frontend,POI Search for Linking,Search POIs to create link,Admin Frontend,P0,AUTO,"Playwright: search, select",RelationshipSearch component working,,100%
Relationships,Frontend,Display Relationships,Show linked POIs on detail page,App Frontend,P1,AUTO,Playwright: verify on detail page,NN-40: NOT shown on public detail pages,,0%
Search,Keyword,pg_trgm Fuzzy Search,Trigram-based fuzzy matching,App Backend,P0,AUTO,pytest: 'coffe' finds 'coffee',"Extension working, 'coffe' finds 'coffee'",,100%
Search,Keyword,Search Endpoint,GET /api/pois/search?q=...,App Backend,P0,AUTO,pytest: GET /api/pois/search,GET /api/pois/search?q=...,,100%
Search,Keyword,Similarity Threshold,0.3 minimum similarity,App Backend,P0,AUTO,pytest: test threshold,0.3 minimum similarity configured,,100%
Search,Keyword,Name Weighting,Name matches weighted 2x,App Backend,P0,AUTO,pytest: verify name ranks higher,Name matches weighted 2x,,100%
Search,Semantic,Embedding Model,michaelfeil/embeddinggemma-300m (~1GB),App Backend,P0,AUTO,pytest: verify model loads,"michaelfeil/embeddinggemma-300m ~1GB, loads on startup",,90%
Search,Semantic,Vector Storage,pgvector extension for embeddings,Database,P0,AUTO,pytest: verify column exists (prod),"pgvector on prod, NOT on local dev",,65%
Search,Semantic,Semantic Endpoint,GET /api/pois/semantic-search?q=...,App Backend,P0,AUTO,pytest: GET semantic-search,"GET /api/pois/semantic-search, falls back to keyword",,90%
Search,Semantic,Natural Language,Understand queries like 'dog friendly cafe',App Backend,P0,HYBRID,pytest: query | Manual: relevance,Understands 'dog friendly cafe' intent,,90%
Search,Semantic,Fallback to Keyword,Use keyword if embeddings unavailable,App Backend,P0,AUTO,"pytest: disable vector, verify fallback",Graceful degradation when embeddings unavailable,,100%
Search,Hybrid,Combined Search,30% keyword + 70% semantic,App Backend,P0,AUTO,pytest: verify hybrid scoring,30% keyword + 70% semantic working,,100%
Search,Hybrid,Configurable Weights,Adjust keyword/semantic balance,App Backend,P1,AUTO,pytest: change weights,Hardcoded but functioning,,80%
Search,Hybrid,Hybrid Endpoint,GET /api/pois/hybrid-search?q=...,App Backend,P0,AUTO,pytest: GET hybrid-search,GET /api/pois/hybrid-search working,,100%
Search,Frontend,Search Bar Component,SearchBar.jsx with input,App Frontend,P0,AUTO,"Playwright: type, verify dropdown",SearchBar.jsx with full functionality,,100%
Search,Frontend,Debounced Input,300ms delay before API call,App Frontend,P0,AUTO,"Playwright: type fast, verify single call",300ms delay before API call,,100%
Search,Frontend,Search Dropdown,Results list with keyboard nav,App Frontend,P0,AUTO,Playwright: verify results,Results list with keyboard navigation,,100%
Search,Frontend,Keyboard Navigation,"Arrow keys, Enter, Escape",App Frontend,P0,AUTO,"Playwright: arrow, enter","Arrow keys, Enter, Escape all working",,100%
Search,Frontend,Result Highlighting,Highlight selected result,App Frontend,P0,AUTO,"Playwright: arrow, verify highlight",Selected result highlighted,,100%
Nearby,Core,Nearby API Endpoint,GET /api/pois/{poi_id}/nearby,App Backend,P0,AUTO,pytest: GET /api/pois/{id}/nearby,GET /api/pois/{id}/nearby?radius_miles=,,100%
Nearby,Core,Distance Calculation,PostGIS ST_DWithin/ST_Distance,App Backend,P0,AUTO,pytest: verify distance accuracy,PostGIS ST_DWithin/ST_Distance in meters,,100%
Nearby,Core,Miles to Meters,Convert miles to meters for PostGIS,App Backend,P0,AUTO,pytest: verify conversion,Conversion working (1609.34m/mile),,100%
Nearby,Core,Sort by Distance,Return nearest first,App Backend,P0,AUTO,pytest: verify ascending order,Returns nearest first,,100%
Nearby,Filters,Radius Dropdown,"1, 3, 5, 10, 15 miles",App Frontend,P0,AUTO,"Playwright: select, verify results","1, 3, 5, 10, 15 miles options",,100%
Nearby,Filters,Type Filter Pills,"All, Businesses, Events, Parks, Trails",App Frontend,P0,AUTO,"Playwright: click, verify filter","All, Businesses, Events, Parks, Trails with icons",,100%
Nearby,Filters,Youth Events Filter,Filter for youth activities,App Frontend,P1,AUTO,Playwright: click Youth,Filters by category names containing youth/kids/family,,100%
Nearby,Filters,Date Presets,"Today, Tomorrow, This Weekend",App Frontend,P0,AUTO,Playwright: select Today,"Today, Tomorrow, This Weekend working",,100%
Nearby,Filters,Custom Date Picker,Select specific date,App Frontend,P0,AUTO,Playwright: pick date,"Calendar picker, no manual entry",,100%
Nearby,Filters,Search Within Nearby,Hybrid search filtered to nearby,App Frontend,P0,AUTO,"Playwright: search, verify filtered",Hybrid search filtered to nearby POI IDs,,100%
Nearby,Filters,Clear Filters Button,Reset all filters,App Frontend,P0,AUTO,"Playwright: click, verify reset",Reset all filters working,,100%
Nearby,Map,Leaflet Map,Map showing nearby POIs,App Frontend,P0,AUTO,Playwright: verify map renders,React-Leaflet MapContainer working,,100%
Nearby,Map,Carto Voyager Tiles,"Warm, MapQuest-like colors",App Frontend,P0,MANUAL,Manual: verify tile appearance,"Warm MapQuest-like colors, accessible",,100%
Nearby,Map,Numbered Markers,Purple circles with numbers,App Frontend,P0,AUTO,Playwright: verify numbers,SVG-based with dynamic creation,,100%
Nearby,Map,Current POI Marker,Gold/yellow circle for current,App Frontend,P0,AUTO,Playwright: verify gold marker,Gold/yellow circle (#F4C542) with white center,,100%
Nearby,Map,Auto-fit Bounds,Zoom to show all markers,App Frontend,P0,AUTO,Playwright: verify bounds,Radius-based zoom levels with padding,,95%
Nearby,Map,Marker Click Highlight,Click marker to highlight card,App Frontend,P0,AUTO,"Playwright: click, verify highlight","Click marker → highlight card, 3s timeout",,100%
Nearby,Map,Card Click Pan,Click card to highlight marker,App Frontend,P0,AUTO,Playwright: click card,Click card → highlight marker,,100%
Nearby,Cards,NearbyCard Component,Individual POI card in list,App Frontend,P0,AUTO,Playwright: verify elements,"Distance, hours, amenities, action buttons",,100%
Nearby,Cards,Distance Display,Show miles from current POI,App Frontend,P0,AUTO,Playwright: verify distance,Miles or feet based on distance,,100%
Nearby,Cards,Hours Display,Show hours for selected date,App Frontend,P0,AUTO,Playwright: verify hours,Shows hours but no (Modified) override labels,,75%
Nearby,Cards,Category Display,Show primary category,App Frontend,P0,AUTO,Playwright: verify category,Primary category shown,,100%
Nearby,Cards,Amenity Icons,"Restrooms, wheelchair, WiFi, pets",App Frontend,P0,AUTO,Playwright: verify icons,"Restrooms, wheelchair, WiFi, pet-friendly icons",,100%
Nearby,Cards,Trail Info,Length and difficulty for trails,App Frontend,P0,AUTO,Playwright: verify length/difficulty,Length + difficulty rating displayed,,100%
Nearby,Cards,Event Info,Date for events,App Frontend,P0,AUTO,Playwright: verify date,Event date displayed,,100%
Nearby,Cards,Park Info,Park type for parks,App Frontend,P0,AUTO,Playwright: verify type,Park type displayed,,100%
Nearby,Actions,Directions Modal,Choose navigation app,App Frontend,P0,AUTO,"Playwright: click, verify modal",NN-31: Works but styling needs updates,,90%
Nearby,Actions,Google Maps Link,Open in Google Maps,App Frontend,P0,AUTO,Playwright: verify URL format,Opens with correct coordinates,,100%
Nearby,Actions,Apple Maps Link,Open in Apple Maps,App Frontend,P0,AUTO,Playwright: verify URL format,Working,,100%
Nearby,Actions,Waze Link,Open in Waze,App Frontend,P0,AUTO,Playwright: verify URL format,Working,,100%
Nearby,Actions,Copy Address,Copy address to clipboard,App Frontend,P0,AUTO,"Playwright: click, verify full address","Only copying city, not full address",,0%
Nearby,Actions,Copy Lat/Long,Copy coordinates to clipboard,App Frontend,P0,AUTO,"Playwright: click, verify clipboard","Fixed - was showing null, now uses front_door coords",,100%
Nearby,Pagination,Page Navigation,Next/previous page buttons,App Frontend,P0,AUTO,Playwright: click next,Next/prev with page numbers,,100%
Nearby,Pagination,Items Per Page,6 items per page default,App Frontend,P0,AUTO,Playwright: count items,6 items default,,100%
Nearby,Mobile,Touch Targets,44px+ for accessibility,App Frontend,P0,MANUAL,Manual: verify 44px+ on mobile,44px+ WCAG compliant,,100%
Nearby,Mobile,Horizontal Scroll Pills,Swipe filter buttons,App Frontend,P0,MANUAL,Manual: test swipe on mobile,Swipe on mobile with hidden scrollbar,,100%
Nearby,Mobile,Icon-only Mode,Icons without text on small screens,App Frontend,P0,AUTO,Playwright: resize <480px,Icons only on <480px screens,,100%
Nearby,Mobile,Responsive Breakpoints,"768px, 480px, 360px",App Frontend,P0,AUTO,"Playwright: resize, verify layout","768px, 480px, 360px handled",,100%
Detail Pages,Routing,Smart Router,POIDetail.jsx dispatches to type-specific,App Frontend,P0,AUTO,"Playwright: navigate, verify component",POIDetail.jsx dispatches to type-specific components,,100%
Detail Pages,Routing,Slug-based URLs,"/places/, /parks/, /trails/, /events/",App Frontend,P0,AUTO,Playwright: verify URL pattern,"/places/, /parks/, /trails/, /events/ working",,100%
Detail Pages,Routing,UUID Fallback,/poi/{uuid} redirects to slug URL,App Frontend,P0,AUTO,"Playwright: navigate UUID, verify redirect","Client-side redirect via history.replaceState, not HTTP 301",,85%
Detail Pages,Business,BusinessDetail Page,Full business detail view,App Frontend,P0,HYBRID,Playwright: sections | Manual: design,"Comprehensive - price, hours, amenities, menu, contact",,90%
Detail Pages,Business,Price Range Display,"$, $$, $$$ indicator",App Frontend,P0,AUTO,Playwright: verify price shown,$/$$/$$$ indicator working,,100%
Detail Pages,Business,Business Hours,Show weekly hours with toggle,App Frontend,P0,AUTO,Playwright: verify hours section,Shows hours but toggle broken (NN-36),,80%
Detail Pages,Business,Contact Info,"Phone, email, website",App Frontend,P0,AUTO,Playwright: verify phone/email/website,"Phone, email, website displayed",,100%
Detail Pages,Business,Social Links,"Instagram, Facebook, X, etc.",App Frontend,P0,AUTO,Playwright: verify icons/links,All platforms with icons,,100%
Detail Pages,Park,ParkDetail Page,Full park detail view,App Frontend,P0,HYBRID,Playwright: sections | Manual: design,"Hours, parking, playground. Missing hunting/fishing",,85%
Detail Pages,Park,Park Type Display,"State park, local park, etc.",App Frontend,P0,AUTO,Playwright: verify type,"State park, local park, etc.",,100%
Detail Pages,Park,Facilities List,"Playgrounds, pavilions, etc.",App Frontend,P0,AUTO,Playwright: verify facilities,Displays park facilities,,100%
Detail Pages,Trail,TrailDetail Page,Full trail detail view,App Frontend,P0,HYBRID,Playwright: sections | Manual: design,"Excellent - length, difficulty, surfaces, trailhead",,92%
Detail Pages,Trail,Length Display,Miles with icon,App Frontend,P0,AUTO,Playwright: verify length,Miles with icon,,100%
Detail Pages,Trail,Difficulty Badge,Easy/Moderate/Hard,App Frontend,P0,AUTO,Playwright: verify badge,Easy/Moderate/Hard badge,,100%
Detail Pages,Trail,Surface Types,"Dirt, gravel, paved, etc.",App Frontend,P0,AUTO,Playwright: verify surfaces,Trail surfaces displayed,,100%
Detail Pages,Event,EventDetail Page,Full event detail view,App Frontend,P0,HYBRID,Playwright: sections | Manual: design,"Good but missing vendor info, repeat pattern",,88%
Detail Pages,Event,Date/Time Display,Event date and time,App Frontend,P0,AUTO,Playwright: verify date/time,Event date/time shown,,100%
Detail Pages,Event,Status Indicator,"Upcoming, happening now, past",App Frontend,P0,AUTO,Playwright: verify status,Upcoming/happening/past,,100%
Detail Pages,Event,Organizer Info,Event organizer details,App Frontend,P0,AUTO,Playwright: verify organizer,Organizer name displayed,,100%
Detail Pages,Event,Ticket Link,Button to buy tickets,App Frontend,P0,AUTO,Playwright: verify button,Button to buy tickets,,100%
Detail Pages,Common,Photo Gallery,Display all POI images,App Frontend,P0,AUTO,Playwright: verify images,Grid display with first 8 images,,100%
Detail Pages,Common,Photo Lightbox,Full-screen image viewer,App Frontend,P0,AUTO,"Playwright: click, verify lightbox",Working but some type pages have broken lightbox,,95%
Detail Pages,Common,Directions Button,Open in maps app,App Frontend,P0,AUTO,"Playwright: click, verify maps",Opens Google Maps with coordinates,,100%
Detail Pages,Common,Share Button,Share via social/email,App Frontend,P0,AUTO,"Playwright: click, verify menu","NN-38: Only 'Link Copied' showing, other options missing",,40%
Detail Pages,Common,Copy Lat/Long,Copy coordinates,App Frontend,P0,AUTO,"Playwright: click, verify clipboard","Fixed - was showing null, now uses front_door coords",,100%
Detail Pages,Common,Verified Badge,Show verified status,App Frontend,P0,AUTO,"Playwright: hover, verify popup",NN-48: Badge shows but popup not showing,,70%
Detail Pages,Common,Nearby Section,Embedded nearby feature,App Frontend,P0,AUTO,Playwright: verify section renders,Embedded NearbySection component,,100%
Detail Pages,Common,Amenity Display,Icons for facilities,App Frontend,P0,AUTO,Playwright: verify icons,Icons for facilities working,,100%
Maps,Library,React-Leaflet,Leaflet wrapper for React,App Frontend,P0,AUTO,Playwright: verify map initializes,Fully integrated with MapContainer,,100%
Maps,Tiles,Carto Voyager,"Warm, colorful map tiles",App Frontend,P0,MANUAL,Manual: verify tile appearance,Accessible warm color tiles,,100%
Maps,Tiles,Parks Green,Parks shown in green,App Frontend,P1,MANUAL,Manual: verify parks green,NN-50: Not implemented - parks not green on map,,0%
Maps,Tiles,Water Blue,Water shown in blue,App Frontend,P1,MANUAL,Manual: verify water blue,NN-50: Not implemented,,0%
Maps,Tiles,County Borders,Show Chatham County border,App Frontend,P2,MANUAL,Manual: verify borders visible,NN-50: Not implemented,,0%
Maps,Markers,Numbered Markers,Purple circles with numbers,App Frontend,P0,AUTO,Playwright: verify numbers,SVG-based with dynamic creation,,100%
Maps,Markers,Current Location,Gold marker for current POI,App Frontend,P0,AUTO,Playwright: verify gold marker,Gold marker with white center,,100%
Maps,Markers,Marker Popups,Info popup on click,App Frontend,P0,AUTO,"Playwright: click, verify popup",NN-28: Need better card list connection,,80%
Maps,Interaction,Click to Set Location,Admin map for coordinates,Admin Frontend,P0,AUTO,"Playwright: click, verify coords",Admin LocationMap working,,100%
Maps,Interaction,Auto-fit Bounds,Zoom to show all markers,App Frontend,P0,AUTO,Playwright: verify bounds,Radius-based zoom levels with padding,,95%
Maps,Interaction,Zoom Controls,Plus/minus buttons,App Frontend,P0,AUTO,"Playwright: click +/-, verify zoom",Plus/minus buttons working,,100%
SEO,Meta Tags,Dynamic Title,Page title from POI name,App Frontend,P0,AUTO,Playwright: verify <title>,SEO component exists but not used in specialized detail pages,,60%
SEO,Meta Tags,Description,Meta description from teaser,App Frontend,P0,AUTO,Playwright: verify meta description,'No Ads. No Clutter.' text,,100%
SEO,Meta Tags,Canonical URL,Canonical link tag,App Frontend,P0,AUTO,Playwright: verify canonical link,Implemented in SEO component,,100%
SEO,Open Graph,og:title,Title for social shares,App Frontend,P0,AUTO,Playwright: verify og:title meta,"Not used in BusinessDetail, EventDetail, etc.",,50%
SEO,Open Graph,og:description,Description for social,App Frontend,P0,AUTO,Playwright: verify og:description,Not used in specialized pages,,50%
SEO,Open Graph,og:image,Image for social preview,App Frontend,P0,AUTO,Playwright: verify og:image,Not used in specialized pages,,50%
SEO,Open Graph,og:type,place/event type,App Frontend,P0,AUTO,Playwright: verify og:type,Not used in specialized pages,,50%
SEO,Twitter,twitter:card,summary_large_image,App Frontend,P0,AUTO,Playwright: verify twitter:card,In SEO component,,60%
SEO,Twitter,twitter:title,Title for Twitter,App Frontend,P0,AUTO,Playwright: verify twitter:title,In SEO component,,60%
SEO,Twitter,twitter:description,Description for Twitter,App Frontend,P0,AUTO,Playwright: verify twitter:description,In SEO component,,60%
SEO,Structured Data,LocalBusiness JSON-LD,Schema.org LocalBusiness,App Frontend,P0,AUTO,Playwright: parse JSON-LD,"Comprehensive schema with hours, geo, amenities",,95%
SEO,Structured Data,Event JSON-LD,Schema.org Event,App Frontend,P0,AUTO,Playwright: parse Event schema,"Full Event schema with organizer, offers, location",,95%
SEO,Structured Data,GeoCoordinates,Lat/long in structured data,App Frontend,P0,AUTO,Playwright: verify coords,In structured data,,100%
SEO,Structured Data,OpeningHours,Hours in structured data,App Frontend,P1,AUTO,Playwright: verify hours,In structured data,,90%
Sharing,Buttons,Native Share API,Device native share,App Frontend,P0,MANUAL,Manual: test on mobile,navigator.share working on mobile,,100%
Sharing,Buttons,Facebook Share,Share to Facebook,App Frontend,P0,AUTO,Playwright: verify share URL,Code exists but NN-38: not showing in dropdown,,100%
Sharing,Buttons,Twitter Share,Share to Twitter/X,App Frontend,P0,AUTO,Playwright: verify share URL,Code exists but NN-38: not showing,,100%
Sharing,Buttons,Email Share,Share via email,App Frontend,P0,AUTO,Playwright: verify mailto,mailto: protocol working,,100%
Sharing,Buttons,Copy Link,Copy URL to clipboard,App Frontend,P0,AUTO,"Playwright: click, verify clipboard",Clipboard API with fallback,,100%
Hours,Regular,Weekly Hours,Day-by-day operating hours,Admin Backend,P0,AUTO,"pytest: save, verify JSONB",JSONB structure with day-by-day hours,,100%
Hours,Regular,Open/Close Times,Start and end time per day,Admin Backend,P0,AUTO,pytest: verify format,"Fixed, dawn, dusk, appointment types supported",,100%
Hours,Regular,Closed Days,Mark days as closed,Admin Backend,P0,AUTO,"pytest: set closed, verify",Status field per day,,100%
Hours,Seasonal,Season Name,"Label for season (Summer, Winter)",Admin Backend,P1,AUTO,pytest: verify names,Spring/Summer/Fall/Winter predefined,,100%
Hours,Seasonal,Start Date,Season start date,Admin Backend,P1,AUTO,pytest: verify MM-DD format,MM-DD format for seasonal,,100%
Hours,Seasonal,End Date,Season end date,Admin Backend,P1,AUTO,pytest: verify MM-DD format,MM-DD format for seasonal,,100%
Hours,Seasonal,Seasonal Hours,Hours during season,Admin Backend,P1,AUTO,"pytest: save, verify","Backend complete, frontend partial",,90%
Hours,Holiday,Holiday Name,Name of holiday,Admin Backend,P1,AUTO,pytest: verify names,20 holidays predefined,,100%
Hours,Holiday,Holiday Date,Specific date,Admin Backend,P1,AUTO,pytest: verify calculation,Calculated with moveable holiday support,,100%
Hours,Holiday,Holiday Hours,Hours or closed,Admin Backend,P1,AUTO,"pytest: save, verify",Open/closed/modified statuses,,95%
Hours,Exceptions,Recurring Monthly,"3rd Wednesday closed, etc.",Admin Backend,P2,AUTO,pytest: test 3rd Wednesday,3rd Wednesday patterns fully working,,100%
Hours,Exceptions,Exception Type,"Closed, modified hours",Admin Backend,P2,AUTO,pytest: verify types,Closed or modified,,100%
Hours,Exceptions,Exception Override,Override regular hours,Admin Backend,P2,AUTO,pytest: verify priority,Priority: exceptions > holidays > seasonal > regular,,100%
Hours,Frontend,Hours Display Component,HoursDisplay.jsx,App Frontend,P0,AUTO,Playwright: verify renders,HoursDisplay.jsx working but toggle broken,,80%
Hours,Frontend,Open Now Status,Show if currently open,App Frontend,P0,AUTO,"pytest: mock time, verify",isCurrentlyOpen() calculates correctly,,95%
Hours,Frontend,Hours Toggle,Expand to see all hours,App Frontend,P0,AUTO,"Playwright: click, verify expand",NN-36: NOT WORKING - user reported,,0%
Hours,Frontend,Date-specific Hours,Show hours for selected date,App Frontend,P0,AUTO,Playwright: pick date,Works but no (Modified) override labels,,75%
Hours,Frontend,Override Display,Show modified/holiday indicator,App Frontend,P1,AUTO,Playwright: verify (Modified) label,NN-36: Not showing (Modified)/(Holiday) indicators,,0%
Users,CLI,Create User,manage_users.py create command,Admin Backend,P0,AUTO,"pytest: run CLI, verify DB",manage_users.py create command working,,100%
Users,CLI,List Users,manage_users.py list command,Admin Backend,P0,AUTO,"pytest: run CLI, verify output","Formatted table with email, role, created_at",,100%
Users,CLI,Delete User,manage_users.py delete command,Admin Backend,P0,AUTO,"pytest: run CLI, verify removed",Working but no confirmation prompt,,80%
Users,CLI,Test User,manage_users.py test-user command,Admin Backend,P0,AUTO,"pytest: run CLI, verify created",test@nearbynearby.com / 1234 working,,100%
Users,CLI,Role Assignment,--role flag on create,Admin Backend,P0,AUTO,pytest: create with role,--role flag on create working,,100%
Users,API,Create User Endpoint,POST /api/auth/users (Admin),Admin Backend,P1,AUTO,pytest: POST /api/auth/users,POST exists but no admin enforcement,,50%
Users,Frontend,User Management UI,Admin page to manage users,Admin Frontend,P2,HYBRID,Playwright: CRUD | Manual: UX,Not implemented - CLI only,,0%
Infrastructure,Docker,Dev Compose,docker-compose.yml,Infrastructure,P0,AUTO,Bash: docker compose up,"5 services: minio, db, backend, frontend, test-db",,100%
Infrastructure,Docker,Prod Compose,docker-compose.prod.yml,Infrastructure,P0,AUTO,Bash: docker compose -f prod,2 services connecting to RDS,,100%
Infrastructure,Docker,Multi-stage Build,Separate build and runtime,Infrastructure,P0,AUTO,"Bash: build, verify size",All Dockerfiles optimized with builder stages,,100%
Infrastructure,Docker,Health Checks,Container health monitoring,Infrastructure,P0,AUTO,Bash: docker inspect,"DB/MinIO have checks, dev backend missing",,85%
Infrastructure,Docker,Volume Mounts,Persistent data storage,Infrastructure,P0,AUTO,Bash: verify data persists,"Persistent postgres_data, minio_data, image_storage",,100%
Infrastructure,Database,PostgreSQL 15,Main database server,Infrastructure,P0,AUTO,pytest: verify PG version,Running with extensions,,100%
Infrastructure,Database,PostGIS 3.4,Geospatial extension,Infrastructure,P0,AUTO,pytest: SELECT PostGIS_Version(),Extension enabled and working,,100%
Infrastructure,Database,Alembic Migrations,Schema version control,Infrastructure,P0,AUTO,Bash: alembic upgrade head,"25 migrations, some merged heads",,95%
Infrastructure,Database,Connection Pooling,SQLAlchemy pool config,Infrastructure,P0,AUTO,pytest: verify pool config,SQLAlchemy pool configured,,100%
Infrastructure,Storage,AWS S3,Production image storage,Infrastructure,P0,AUTO,pytest: upload/download S3,Production storage working,,100%
Infrastructure,Storage,MinIO,Development S3 compatibility,Infrastructure,P0,AUTO,pytest: upload/download MinIO,Dev S3-compatible with auto-bucket,,100%
Infrastructure,Storage,CloudFront CDN,Image delivery optimization,Infrastructure,P2,AUTO,pytest: verify CDN URL,Not configured yet,,0%
Infrastructure,CI/CD,GitHub Actions,Automated pipeline,Infrastructure,P0,AUTO,GH Actions: verify workflow,CI/CD pipeline with OIDC,,100%
Infrastructure,CI/CD,ECR Push,Push images to AWS ECR,Infrastructure,P0,AUTO,GH Actions: verify image,Docker image push working,,100%
Infrastructure,CI/CD,ECS Deploy,Deploy to AWS ECS,Infrastructure,P0,AUTO,GH Actions: verify deployment,Force new deployment working,,100%
Infrastructure,Network,Docker Network,nearby-admin_default network,Infrastructure,P0,AUTO,Bash: docker network inspect,"nearby-admin_default, DNS collision documented",,95%
Infrastructure,Network,DNS Resolution,Container name resolution,Infrastructure,P0,AUTO,Bash: nslookup from container,Workaround with explicit container names,,90%
Infrastructure,Network,CORS Config,Cross-origin settings,Infrastructure,P0,AUTO,pytest: verify CORS headers,Configured for allowed origins,,100%
Database,Tables,points_of_interest,Main POI table (140+ fields),Database,P0,AUTO,pytest: verify schema,140+ fields main table,,100%
Database,Tables,businesses,Business subtype table,Database,P0,AUTO,pytest: verify schema,25+ columns subtype,,100%
Database,Tables,parks,Park subtype table,Database,P0,AUTO,pytest: verify schema,18+ columns subtype,,100%
Database,Tables,trails,Trail subtype table,Database,P0,AUTO,pytest: verify schema,20+ columns subtype,,100%
Database,Tables,events,Event subtype table,Database,P0,AUTO,pytest: verify schema,22+ columns subtype,,100%
Database,Tables,categories,Category table (hierarchical),Database,P0,AUTO,pytest: verify schema,Hierarchical with parent_id,,100%
Database,Tables,poi_category_association,POI-category junction,Database,P0,AUTO,pytest: verify junction,Junction with is_main flag,,100%
Database,Tables,images,Image metadata table,Database,P0,AUTO,pytest: verify schema,S3 metadata with variants,,100%
Database,Tables,attributes,Dynamic attribute definitions,Database,P0,AUTO,pytest: verify schema,Dynamic attribute definitions,,100%
Database,Tables,poi_relationships,POI-to-POI links,Database,P0,AUTO,pytest: verify schema,Composite PK relationship table,,100%
Database,Tables,users,Admin users table,Database,P0,AUTO,pytest: verify schema,With bcrypt hashed passwords,,100%
Database,Tables,primary_types,POI primary types,Database,P0,AUTO,pytest: verify schema,POI primary type reference,,100%
Database,Tables,waitlist,Email waitlist,Database,P1,AUTO,pytest: verify schema,Email collection table,,100%
Database,Indexes,Trigram Index (name),GIN index for fuzzy search,Database,P0,AUTO,pytest: verify index,GIN index on name for fuzzy search,,100%
Database,Indexes,Trigram Index (city),GIN index for city search,Database,P0,AUTO,pytest: verify index,"Documented, may need manual creation",,90%
Database,Indexes,Geospatial Index,GIST index on location,Database,P0,AUTO,pytest: verify GIST,GIST index on location column,,100%
Database,Indexes,Vector Index,IVFFlat on embedding column,Database,P0,AUTO,pytest: verify IVFFlat (prod),"IVFFlat on prod, not local dev",,65%
Database,Indexes,Status Index,Index on publication_status,Database,P0,AUTO,pytest: verify index,Index on publication_status,,100%
Database,Extensions,pg_trgm,Trigram text search,Database,P0,AUTO,pytest: verify extension,Extension enabled,,100%
